comparison,measure,n,r,mae,rmse,bias,max_abs,nan_mismatch
Haddara odd-even,Phi-Diff,140,0.9999999999999996,1.7981647916696732e-16,2.456519648092318e-16,-4.956352788505163e-18,8.881784197001252e-16,0
Haddara odd-even,ΔConf-Diff,140,0.9999999999999998,3.9650822308041307e-16,5.685878147848628e-16,4.4408920985006264e-17,1.7763568394002505e-15,0
Haddara odd-even,meta-noise,140,0.9980289390884347,0.002576284107127836,0.023757741612608418,0.0011941733571608835,0.26393202250021036,0
Haddara odd-even,meta-uncertainty,140,0.9999984641725131,0.00019893221538468204,0.001466847948011591,5.252406341654423e-05,0.016479675639930136,0
Haddara odd-even,d',140,1.0,1.395708945243054e-16,2.2945461865598407e-16,-7.137148015447435e-17,8.881784197001252e-16,0
Haddara odd-even,Criterion,140,1.0,5.531289711971762e-17,8.183357226397744e-17,-5.7493692346659896e-18,2.7755575615628914e-16,0
Haddara odd-even,Confidence,140,1.0,0.0,0.0,0.0,0.0,0
Maniscalco raw,meta-d',22,0.9999999997116561,1.5273564798632096e-05,2.2011349361989963e-05,-3.7047674654657547e-06,6.214188258280018e-05,0
Maniscalco raw,AUC2,22,1.0,0.0,0.0,0.0,0.0,0
Maniscalco raw,Gamma,22,1.0,0.0,0.0,0.0,0.0,0
Maniscalco raw,Phi,22,0.9999999999999998,3.469446951953614e-17,6.185141233403361e-17,6.30808536718839e-19,2.220446049250313e-16,0
Maniscalco raw,ΔConf,22,1.0,0.0,0.0,0.0,0.0,0
Maniscalco raw,M-Ratio,22,0.999999999309929,8.029106640772277e-06,1.1057222009949595e-05,-1.4121684616119623e-06,2.284897436244382e-05,0
Maniscalco raw,AUC2-Ratio,22,1.0,1.766263902812749e-16,2.2826554541300066e-16,-3.532527805625498e-17,4.440892098500626e-16,0
Maniscalco raw,Gamma-Ratio,22,1.0,3.0531133177191805e-16,4.1151156420416386e-16,1.766263902812749e-17,8.881784197001252e-16,0
Maniscalco raw,Phi-Ratio,22,1.0,4.289498049688105e-16,5.756735342769577e-16,-1.5139404881252134e-17,1.4432899320127035e-15,0
Maniscalco raw,ΔConf-Ratio,22,1.0,4.213801025281844e-16,5.501692043739944e-16,9.335966343438817e-17,1.1102230246251565e-15,0
Maniscalco raw,M-Diff,22,0.9999999995829056,1.527356479854883e-05,2.201134936179378e-05,-3.704767465342116e-06,6.2141882581912e-05,0
Maniscalco raw,AUC2-Diff,22,1.0,1.3625464393126921e-16,1.7554167342883506e-16,-3.532527805625498e-17,3.3306690738754696e-16,0
Maniscalco raw,Gamma-Diff,22,1.0,2.296143073656574e-16,3.0975204299336607e-16,2.523234146875356e-18,7.771561172376096e-16,0
Maniscalco raw,Phi-Diff,22,1.0,1.9618145491955892e-16,2.890053286658681e-16,-5.99268109882897e-17,9.43689570931383e-16,0
Maniscalco raw,ΔConf-Diff,22,0.9999999999999998,4.945538927875697e-16,6.473657049138938e-16,3.027880976250427e-17,1.3322676295501878e-15,0
Maniscalco raw,meta-noise,22,1.0,0.0,0.0,0.0,0.0,0
Maniscalco raw,meta-uncertainty,22,0.9999998856964315,0.00011910274245104362,0.00046036886933804416,9.586205018514974e-05,0.002148162489863381,0
Maniscalco raw,d',22,1.0,1.8167285857502563e-16,2.67795869548738e-16,-8.074349270001139e-17,4.440892098500626e-16,0
Maniscalco raw,Criterion,22,1.0,7.317379025938531e-17,1.0111843135300426e-16,1.766263902812749e-17,2.220446049250313e-16,0
Maniscalco raw,Confidence,22,1.0,0.0,0.0,0.0,0.0,0
Maniscalco metacognitive bias,meta-d',44,0.9999999988280341,2.3712248837329125e-05,4.121809568254281e-05,2.94859647718024e-06,0.00019244636056936493,0
Maniscalco metacognitive bias,AUC2,44,0.9999999999999999,0.0,0.0,0.0,0.0,0
Maniscalco metacognitive bias,Gamma,44,1.0,0.0,0.0,0.0,0.0,0
Maniscalco metacognitive bias,Phi,44,1.0,0.0,0.0,0.0,0.0,0
Maniscalco metacognitive bias,ΔConf,44,1.0,0.0,0.0,0.0,0.0,0
Maniscalco metacognitive bias,M-Ratio,44,0.999999997759996,1.2498994441203933e-05,2.0189603455231083e-05,2.2728797291040906e-07,7.471742416920168e-05,0
Maniscalco metacognitive bias,AUC2-Ratio,44,1.0,1.6905668784064883e-16,2.5105862770194187e-16,-4.289498049688105e-17,8.881784197001252e-16,0
Maniscalco metacognitive bias,Gamma-Ratio,44,0.9999999999999998,2.731400963992573e-16,4.227810394201417e-16,-8.768238660391862e-17,1.2212453270876722e-15,0
