measure,metric,paper,matlab,python
M-Ratio,split_half,0.85,0.3112983539930004,0.5708410867533219
M-Ratio,test_retest,0.42,0.3966442745289937,0.396631247336015
AUC2-Ratio,precision,0.6,1.0030308874349059,1.0029816929607158
AUC2-Ratio,task,-0.39,-0.3947541593307322,-0.393335967777603
AUC2-Ratio,bias,0.09,0.08995371816216091,0.08994476567200711
AUC2-Ratio,response,0.13,0.13280604843465607,0.13280604843465665
AUC2-Ratio,split_half,0.85,0.3143621597175638,0.5788459424522052
AUC2-Ratio,test_retest,0.36,0.33382101957518895,0.3338210195751891
Gamma-Ratio,precision,0.61,1.0327479233385957,1.0384587930522324
Gamma-Ratio,task,-0.11,-0.1149466349024798,-0.11423661640520973
Gamma-Ratio,bias,0.001,0.0007873586336313113,0.0005394713648994159
Gamma-Ratio,response,0.08,0.08221731304613139,0.08221731304613104
Gamma-Ratio,split_half,0.84,0.23364087077609955,0.49349377801011013
Gamma-Ratio,test_retest,0.3,0.3667746146284199,0.3667746146284201
Phi-Ratio,precision,0.62,1.0358836093830375,1.0346537147002095
Phi-Ratio,task,-0.17,-0.17071544493519783,-0.1709935627344393
Phi-Ratio,bias,0.23,0.23354031390940846,0.23099755791103285
Phi-Ratio,response,0.01,0.011206204014433587,0.01120620401443342
Phi-Ratio,split_half,0.84,0.21708703052071096,0.48928755666349105
Phi-Ratio,test_retest,0.28,0.3674907957662975,0.3674907957662975
ΔConf-Ratio,precision,0.58,0.9717040384115974,0.9716242564931692
ΔConf-Ratio,task,-0.23,-0.23145953560382093,-0.23213743343873258
ΔConf-Ratio,bias,0.42,0.42132811051086455,0.418276145238517
ΔConf-Ratio,response,0.11,0.11470573260032925,0.11470573260032903
ΔConf-Ratio,split_half,0.84,0.23432656707066357,0.5002629296625042
ΔConf-Ratio,test_retest,0.27,0.34872053175037965,0.34872053175037954
M-Diff,precision,0.56,0.9391934420278512,0.9385076433473063
M-Diff,task,-0.58,-0.5762712196011163,-0.5769371607116575
M-Diff,bias,0.43,0.43134094125806804,0.4251580974420041
M-Diff,response,-0.002,-0.0017663065484425475,-0.001697886817840498
M-Diff,split_half,0.87,0.4326772923812562,0.6628934431845748
M-Diff,test_retest,0.47,0.43860322542270985,0.43859722447459193
AUC2-Diff,precision,0.59,0.9815912929067792,0.9812133367799356
AUC2-Diff,task,-0.49,-0.48847313201159853,-0.4882670667585632
AUC2-Diff,bias,0.1,0.10448237668646206,0.10448144428025792
AUC2-Diff,response,0.12,0.12453426888820787,0.12453426888820841
AUC2-Diff,split_half,0.85,0.33183297536974465,0.5943069169611418
AUC2-Diff,test_retest,0.29,0.2791904790373867,0.2791904790373869
Gamma-Diff,precision,0.65,1.0930568165524082,1.0951586526071317
Gamma-Diff,task,-0.39,-0.3882236272674195,-0.38669832848290575
Gamma-Diff,bias,0.24,0.24330174297544727,0.24280721513367995
Gamma-Diff,response,0.06,0.058809671912649804,0.05880967191264936
Gamma-Diff,split_half,0.85,0.3182016978966839,0.5832761506272744
Gamma-Diff,test_retest,0.43,0.40382090401095005,0.40382090401095005
Phi-Diff,precision,0.62,1.0320931415168175,1.023495664516774
Phi-Diff,task,-0.3,-0.29741944328504766,-0.2972286747489872
Phi-Diff,bias,0.11,0.11283501117399465,0.1124497596827186
Phi-Diff,response,0.001,0.0007161542095805091,0.0007161542095801648
Phi-Diff,split_half,0.85,0.27339935880541877,0.5412907037962277
Phi-Diff,test_retest,0.35,0.3278697129683107,0.3278697129683105
ΔConf-Diff,precision,0.53,0.8801231128500052,0.8727672014800019
ΔConf-Diff,task,-0.55,-0.5459946022160319,-0.5470294568122736
ΔConf-Diff,bias,0.34,0.3394930696025751,0.3394718470092743
ΔConf-Diff,response,0.12,0.12453426888820866,0.1245342688882081
ΔConf-Diff,split_half,0.85,0.31350223350882733,0.5643986907382936
ΔConf-Diff,test_retest,0.31,0.2858649680429977,0.28586496804299766
meta-noise,precision,0.63,1.0563180165315509,1.0452301273235163
meta-noise,task,-0.29,-0.286261245536754,-0.2944111312937821
meta-noise,bias,-0.21,-0.20925400456232177,-0.22916169551874402
meta-noise,response,0.03,0.03292064561782166,0.032920645617821744
meta-noise,split_half,0.84,0.25578730968735947,0.46898057867408477
meta-noise,test_retest,0.29,0.26927787095773514,0.26927787095773514
